Key,japanese
armorNerdGlovesDesc,ヘビーアーマー\n知能ツリー内の武器使用時のダメージ量を増やします。\n\nフルセットボーナス： 武器やツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNerdHelmetDesc,ヘビーアーマー\n獲得経験値量が上がります。\n\nフルセットボーナス： 武器やツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNerdOutfitDesc,ヘビーアーマー\n雑誌使用時に確率でクラフトスキルレベルが1ではなく2上昇します。\n\nフルセットボーナス： 武器やツールの耐久値減少率が軽減されます。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNomadBootsDesc,ヘビーアーマー\n走行速度上昇。\n\nフルセットボーナス： スタミナ回復コストが下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNomadGlovesDesc,ヘビーアーマー\n被爆したゾンビ、インフェルノ・ゾンビ、チャージド・ゾンビへの近接ダメージ上昇。\n\nフルセットボーナス： スタミナ回復コストが下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNomadHelmetDesc,ヘビーアーマー\n食料値や水分値が減りにくくなります。\n\nフルセットボーナス： スタミナ回復コストが下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorNomadOutfitDesc,ヘビーアーマー\n荷重制限を軽減します。\n\nフルセットボーナス： スタミナ回復コストが下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorPreacherBootsDesc,ライトアーマー\n治療済みのかすり傷や骨折の回復速度上昇。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorPreacherGlovesDesc,ライトアーマー\nアンデッドに与えるダメージ量が上がります。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorPreacherHelmetDesc,ライトアーマー\n購入商品の割引を受けます。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRaiderBootsDesc,ヘビーアーマー\n落下ダメージを軽減します。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRaiderGlovesDesc,ヘビーアーマー\n近接武器ダメージ量を上げます。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRaiderHelmetDesc,ヘビーアーマー\n脳震盪耐性が上がります。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRaiderOutfitDesc,ヘビーアーマー\n重症デバフの回復速度上昇。\n\nフルセットボーナス： 重症デバフを受ける確率が下がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRangerGlovesDesc,ミディアムアーマー\nライフルとリボルバー使用時のダメージ量を上げます。\n\nフルセットボーナス： リボルバーとレバーアクションライフルのリロード速度が上がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRangerHelmetDesc,ミディアムアーマー\n交渉能力を上げます。\n\nフルセットボーナス： リボルバーとレバーアクションライフルのリロード速度が上がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRangerOutfitDesc,ミディアムアーマー\n最大体力を上げます。\n\nフルセットボーナス： リボルバーとレバーアクションライフルのリロード速度が上がります。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRogueBootsDesc,ライトアーマー\n落下ダメージを軽減します。\n\nフルセットボーナス： 旧紙幣とデュークのカジノトークンの略奪取得量上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRogueGlovesDesc,ライトアーマー\nピッキング速度と成功率上昇。\n\nフルセットボーナス： 旧紙幣とデュークのカジノトークンの略奪取得量上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRogueHelmetDesc,ライトアーマー\n略奪ステージ上昇。\n\nフルセットボーナス： 旧紙幣とデュークのカジノトークンの略奪取得量上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorRogueOutfitDesc,ライトアーマー\nスニーク性能上昇。\n\nフルセットボーナス： 旧紙幣とデュークのカジノトークンの略奪取得量上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorScavengerBootsDesc,ミディアムアーマー\n解体ツール使用時、スタミナ消費量軽減。\n\nフルセットボーナス： 略奪品ボーナス上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorScavengerGlovesDesc,ミディアムアーマー\n解体ツール使用時、獲得資材量上昇。\n\nフルセットボーナス： 略奪品ボーナス上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorScavengerHelmetDesc,ミディアムアーマー\n解体ツール使用時、獲得経験値上昇。\n\nフルセットボーナス： 略奪品ボーナス上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。
armorScavengerOutfitDesc,ミディアムアーマー\n荷重制限を軽減します。\n\nフルセットボーナス： 略奪品ボーナス上昇。さらに、所持重量+6 武器・防具の性能/スタミナ効率/機動力/取引効率上昇。

buffPrimitiveSetBonusDesc,草木を編んで作った通気性の良い軽量なアーマーは、全身をうまくカバーしあなたを身近な脅威から守ります。\n\n基本的なフルセット防具効果を得られます。
buffPrimitiveSetBonusName,原始的なアーマーフルセットボーナス
buffPrimitiveSetBonusTooltip,原始的なアーマーフルセットボーナスがアクティブです





buffDrugCaffeinesDesc,カフェイン錠を飲みました。目が冴えて元気が湧いてきました。スタミナの回復速度が上昇。
buffDrugCaffeinesName,カフェイン錠
drugCaffeines,カフェイン錠
drugCaffeinesDesc,カフェイン剤の効果で、スタミナが沸き上がってきます。副作用で喉が渇きやすく、体に多少の負担が出ているようです。
medicalCaffeines,カフェイン錠
medicalCaffeinesDesc,カフェイン剤の効果で、スタミナが沸き上がってきます。副作用で喉が渇きやすく、体に多少の負担が出ているようです。
statShowInstantStamina,スタミナ
statHealthDmg,健康度低下

buffCampfireAOEEffectDesc,揺らぐ炎を眺めていると、我が家に帰ってきたという感じがします。\n\n焚き火や炉等の火の近くで10秒間温まるとスタミナが少量回復し、さらに10分間、スタミナ回復速度が少し上昇します。
buffCampfireAOEEffectName,休息の炎

buffDrunkGrandpasAwesomeSauceDesc,味はともかく、交渉能力がかつてないほど高まっています。\n取引価格が+10%お得になります。
buffDrunkGrandpasLearningElixirDesc,飲むと喉が焼けるようですが、頭がスッキリして学習能力が高まります。\n経験値+50%。
buffDrunkGrandpasMoonshineDesc,へべれけに酔っています。\n近接ダメージ+400%\nスタン耐性+100%\n回復/秒+20\nスタミナ回復+400%
buffHealFoodDesc,食料を消化しています。\nスタミナ回復 +2/秒\n\n食料を食べ、食料の最大値を100超過するまで、食料ステータスの減少速度が低下します。
buffHealWaterMaxDesc,飲むとスタミナの回復速度が少し上昇します。\nスタミナ回復 +1/秒\n\n水を飲み、水分の最大値を100超過するまで、水分ステータスの減少速度が低下します。

buffStatusHungry01Desc,空腹です。\n最大スタミナが{cvar($buffStatusHungryBlockage:0.0)}低下し回復速度が25%低下します。
buffStatusHungry01Tooltip,空腹です。スタミナの回復力が低下しています。
buffStatusHungry02Desc,腹ペコです。やがては餓死してしまいます。\n最大スタミナが{cvar($buffStatusHungryBlockage:0.0)}低下し回復速度が50%低下します。
buffStatusHungry02Tooltip,腹ペコです。スタミナの回復力がより低下しています。
buffStatusHungry03Desc,あなたは空腹で死にそうになっています。何か食べる物を見つけてください。\n最大スタミナは{cvar($buffStatusHungryBlockage:0.0)}低下し回復速度が100%低下します。

buffStatusLowStamina00Name,休息十分
buffStatusLowStamina00Desc,十分な休息を取り、活発に活動できる気力があります。機動力が25%上昇し、空腹やのどの渇きは抑えられています。
buffStatusLowStamina00Tooltip,元気いっぱいで機動力が高まっています。
buffStatusLowStamina01Name,平常状態
buffStatusLowStamina01Desc,活動により休息ボーナスはなくなりましたが、まだ疲れてはいません。機動力が10%上昇し、空腹やのどの渇きに微量な影響が出ます。
buffStatusLowStamina01Tooltip,休息ボーナスは切れています。
buffStatusLowStamina02Name,スタミナ半分
buffStatusLowStamina02Desc,スタミナが半分を切りました。機動性が2%低下し、空腹やのどの渇きに少し影響が出ます。
buffStatusLowStamina02Tooltip,スタミナが減ってきています。機動力が微量に低下しています。
buffStatusLowStamina03Name,スタミナ低下
buffStatusLowStamina03Desc,スタミナを消耗しています。機動性が4%低下し、空腹やのどの渇きに影響が出ます。
buffStatusLowStamina03Tooltip,スタミナを消耗しています。機動力が少し低下しています。
buffStatusLowStamina04Name,スタミナ不足
buffStatusLowStamina04Desc,激しい運動でスタミナ切れを起こしており、休息が必要です。機動性が10%低下し、空腹やのどの渇きに大きな影響が出ます。
buffStatusLowStamina04Tooltip,スタミナ不足です。機動力が低下しています。
buffStatusLowStamina05Name,スタミナ切れ
buffStatusLowStamina05Desc,視界がぼやけるほどへとへとでスタミナを使い切っています。すぐに安全な場所で休憩してください。機動性が35%低下し、空腹やのどの渇きを強烈に感じます。
buffStatusLowStamina05Tooltip,スタミナ切れで目の前がぼんやりします。機動性が大幅に低下しています。

buffScavengerSetBonusDesc,スカベンジャーは、他の人には見つけられないような貴重な宝物を発見する鋭い目を持っています。\n\n略奪品の質が{cvar(.armorScavengerFSBDisplay:0)}増加します。


drinkJarBeerDesc,素手やナックル使用時ダメージ量300%上昇\nスタミナ回復量100%上昇\n\nスタミナ上昇、虚勢、スタン耐性を一本のボトルに詰め込んだ美味しい自家製ビール。懐かしいおじいちゃんの味。
drinkJarPureMineralWaterDesc,ピュアミネラルウォーターは消化を助け、水分補給に最適です！\n運動してもそれほど早く空腹や喉の渇きを感じることがなくなります。

foodT3-2,ティア3：ホボシチューと鶏肉たっぷり野菜スープ
foodT4-1,ティア4：ツナグレービートーストと鶏味噌照り焼き
foodT4-2,ティア4：シェパーズパイとフルーツミックスのカボチャパイ
foodT4-3,ティア4：スパゲッティとおじいちゃんの素敵なソース
foodT4-4,ティア4：ガンボシチューとおじいちゃんの密造酒
foodT4-5,ティア4：おじいちゃんの学習エリクサーとスペシャル猫缶シチュー

foodVegetableChicken,鶏肉たっぷり野菜スープ
foodVegetableChickenDesc,健康にいい野菜スープに鶏肉の至高の組み合わせ。
foodMisoChicken,鶏味噌照り焼き
foodMisoChickenDesc,ジューシーな焼き鳥に味噌の香りが食欲を掻き立てます。
foodFruitMixPie,フルーツミックスのカボチャパイ
foodFruitMixPieDesc,世紀末にこんな贅沢なデザートを食べても許されるんでしょうか？
foodUltraCatSoup,ミャオチュースープ
foodUltraCatSoupDesc,Meow Chow印の高級缶に肉と卵を加えタンパク質豊富な贅沢な一品！グルメな猫ちゃんも慌てて飛びつく元気の源です。


perkArcheryRank1LongDesc,レンジャーになるための道を歩み始める者はたくさんいますが、到達する者はわずかです。弓やクロスボウ使用時、ダメージ量が10%、取り回し速度が15%、引き絞り速度が10%、リロード速度が60%上昇。\n弓やそのパーツの発見率上昇。
perkArcheryRank2LongDesc,学ぶことはまだまだたくさんありますよ。弓やクロスボウ使用時、ダメージ量が20%、取り回し速度が30%、引き絞り速度が20%、リロード速度が120%上昇。\n弓やそのパーツの発見率上昇。
perkArcheryRank3LongDesc,厳しい訓練を通して、あなたは弓のマークスマンになりました。弓やクロスボウ使用時、ダメージ量が30%、取り回し速度が45%、引き絞り速度が30%、リロード速度が180%上昇。\n弓やそのパーツの発見率上昇。
perkArcheryRank4LongDesc,タカのように鋭い目を持ったアーチェリーの達人です。弓やクロスボウ使用時、ダメージ量が40%、取り回し速度が60%、引き絞り速度が40%、リロード速度が240%上昇。\n弓やそのパーツの発見率上昇。
perkArcheryRank5LongDesc,アーチェリーをマスターしたあなたはレンジャーになりました。弓やクロスボウ使用時、ダメージ量が50%、取り回し速度が75%、引き絞り速度が50%、リロード速度が300%上昇。\n弓やそのパーツの発見率上昇。

perkDeepCutsRank1LongDesc,使うのはなまくら刀かもしれませんが、使い方は理解しているようです。ブレード武器使用時、1体の敵への最大流血スタック数20。流血中の敵の走る速度10%低下。ダメージ量が10%、通常攻撃時スタミナ消費量4%、パワーアタック時スタミナ消費量8%軽減。\nブレード武器とそのパーツの発見率上昇。
perkDeepCutsRank2LongDesc,あなたはまさしく、ナイフガイと言えるでしょう。ブレード武器使用時、1体の敵への最大流血スタック数40。ダメージ量が20%、通常攻撃時スタミナ消費量8%、パワーアタック時スタミナ消費量16%軽減。\nブレード武器とそのパーツの発見率上昇。
perkDeepCutsRank3LongDesc,あなたは一歩抜きん出た存在です。ブレード武器使用時、1体の敵への最大流血スタック数80。かすりヒット時流血付与率40%。流血中の敵の走る速度15%低下。ダメージ量が30%、通常攻撃時スタミナ消費量12%、パワーアタック時スタミナ消費量24%軽減。致死の一撃は30のスタミナを与えます。\nブレード武器とそのパーツの発見率上昇。
perkDeepCutsRank4LongDesc,ブレード武器を装備したあなたは殺人兵器です。ブレード武器使用時、1体の敵への最大流血スタック数140。かすりヒット時流血付与率70%。ダメージ量が40%、通常攻撃時スタミナ消費量16%、パワーアタック時スタミナ消費量32%軽減。トドメを刺すとスタミナが60回復します。\nブレード武器とそのパーツの発見率上昇。
perkDeepCutsRank5LongDesc,あなたは侍。しかも敵をネタにして寿司を握ります。ブレード武器使用時、1体の敵への最大流血スタック数200。かすりヒット時流血付与率100%。流血中の敵の走る速度20%低下。\nダメージ量が50%、通常攻撃時スタミナ消費量20%、パワーアタック時スタミナ消費量40%軽減。トドメを刺すとスタミナが90回復します。\nブレード武器とそのパーツの発見率上昇。

perkElectrocutionerRank1LongDesc,説明書はどこ？あなたは賢いんですから、説明書を脇に置いてトリガーを引いてください。バトン使用時、ダメージ量が10%、スタンバトンによる感電持続時間20%増加、通常攻撃時スタミナ消費4%軽減、パワーアタック時スタミナ消費8%軽減。\nバトンとそのパーツの発見率上昇。
perkElectrocutionerRank2LongDesc,バトンを使って敵を無力化するコツがわかってきたようですね。バトン使用時、ダメージ量が20%、スタンバトンによる感電持続時間40%増加、通常攻撃時スタミナ消費8%軽減、パワーアタック時スタミナ消費16%軽減。\nバトンとそのパーツの発見率上昇。
perkElectrocutionerRank3LongDesc,バトンの危険な使い手となってきたようです。ゾンビに食われていなければ、牛だって倒せそうです。バトン使用時、ダメージ量が30%、スタンバトンによる感電持続時間60%増加、通常攻撃時スタミナ消費12%軽減、パワーアタック時スタミナ消費24%軽減。トドメを刺すとスタミナが30回復。\nバトンとそのパーツの発見率上昇。
perkElectrocutionerRank4LongDesc,バトンを持ったあなたは危険な存在となったのです。バトン使用時、ダメージ量が40%、スタンバトンによる感電持続時間80%増加、通常攻撃時スタミナ消費16%軽減、パワーアタック時スタミナ消費32%軽減。トドメを刺すとスタミナが60回復。\nバトンとそのパーツの発見率上昇。
perkElectrocutionerRank5LongDesc,あなたは彼らが最後に見る、バトンを持った処刑者です。バトン使用時、ダメージ量が50%、スタンバトンによる感電持続時間100%増加。\n通常攻撃時スタミナ消費20%軽減、パワーアタック時スタミナ消費40%軽減。トドメを刺すとスタミナが90回復。

perkJavelinMasterRank1LongDesc,棒や石で骨を折ることはできないが、組み合わせればいい槍になる。槍使用時、ダメージ量が10%、パワーアタックが20%の確率で敵に鈍足効果を付与。通常攻撃スタミナ消費量4%、パワーアタックスタミナ消費量8%軽減。\n槍とそのパーツの発見率上昇。
perkJavelinMasterRank2LongDesc,槍使用時、ダメージ量が20%、パワーアタックが40%の確率で敵に鈍足効果を付与。通常攻撃スタミナ消費量8%、パワーアタックスタミナ消費量16%軽減。\n槍とそのパーツの発見率上昇。
perkJavelinMasterRank3LongDesc,槍使用時、ダメージ量が30%、パワーアタックが60%の確率で敵に鈍足効果を付与。通常攻撃スタミナ消費量12%、パワーアタックスタミナ消費量24%軽減。敵にトドメを刺すとスタミナが30回復します。\n槍とそのパーツの発見率上昇。
perkJavelinMasterRank4LongDesc,槍使用時、ダメージ量が40%、パワーアタックが80%の確率で敵に鈍足効果を付与。通常攻撃スタミナ消費量16%、パワーアタックスタミナ消費量32%軽減。敵にトドメを刺すとスタミナが60回復します。\n槍とそのパーツの発見率上昇。
perkJavelinMasterRank5LongDesc,あなたは今、槍の達人です！これが黙示録でなければ、オリンピックに出られるかもしれません！槍使用時、ダメージ量が50%、パワーアタックが100%の確率で敵に鈍足効果を付与。\n通常攻撃スタミナ消費量20%、パワーアタックスタミナ消費量40%軽減。敵にトドメを刺すとスタミナが90回復します。\n槍とそのパーツの発見率上昇。

perkSalvageOperationsRank1LongDesc,物をバラバラにすれば、何か役立つ物がみつかるかもしれません。解体ツール使用時、対物ダメージ量が10%、獲得資源量が20%上昇。消費スタミナが4%、パワーアタックの場合8%減少。\n解体ツールやそのパーツの発見率上昇。
perkSalvageOperationsRank2LongDesc,ほとんどの人はあなたを「あさり屋」と呼びますが、少なくとも誠実な生活をしています。解体ツール使用時、対物ダメージ量が20%、獲得資源量が40%上昇。消費スタミナが8%、パワーアタックの場合16%減少。\n解体ツールやそのパーツの発見率上昇。
perkSalvageOperationsRank3LongDesc,あなたは、普通のスクラップ屋よりも有用なパーツを回収するコツを知っています。解体ツール使用時、対物ダメージ量が30%、獲得資源量が60%上昇。消費スタミナが12%、パワーアタックの場合24%減少。\n解体ツールやそのパーツの発見率上昇。
perkSalvageOperationsRank4LongDesc,あなたの回収したパーツを扱う能力は傑出しています。解体ツール使用時、対物ダメージ量が40%、獲得資源量が80%上昇。消費スタミナが16%、パワーアタックの場合32%減少。\n解体ツールやそのパーツの発見率上昇。
perkSalvageOperationsRank5LongDesc,ジャンクディーラーの頂点に立ったあなたは、終末の世の整備士たちの羨望の的です。解体ツール使用時、対物ダメージ量が50%、獲得資源量が100%上昇。消費スタミナが20%、パワーアタックの場合40%減少。\n解体ツールやそのパーツの発見率上昇。

perkMiner69rRank1LongDesc,誰にでも初めてがあるもの。採取ツール使用時、対物ダメージ量が30%上昇。通常攻撃時スタミナ消費量が4%、パワーアタック時スタミナ消費量が8%軽減。\nツールとそのパーツの発見率上昇。
perkMiner69rRank2LongDesc,青二才なのは変わりませんが、マックマンのためにコーヒーを取って来るパシリは卒業です。採取ツール使用時、対物ダメージ量が60%上昇。通常攻撃時スタミナ消費量が8%、パワーアタック時スタミナ消費量が16%軽減。\nツールとそのパーツの発見率上昇。
perkMiner69rRank3LongDesc,あなたは昔マックマンと呼ばれていたプロの鉱夫のようです。採取ツール使用時、対物ダメージ量が90%上昇。通常攻撃時スタミナ消費量が12%、パワーアタック時スタミナ消費量が24%軽減。\nツールとそのパーツの発見率上昇。
perkMiner69rRank4LongDesc,一人前の鉱夫になりました。採取ツール使用時、対物ダメージ量が120%上昇。通常攻撃時スタミナ消費量が16%、パワーアタック時スタミナ消費量が32%軽減。\nツールとそのパーツの発見率上昇。
perkMiner69rRank5LongDesc,あなたは伝説的なシックスティーナイナーであり、ツノガエルよりも素早く鉱脈を探し当てることができます。採取ツール使用時、対物ダメージ量が150%。\n通常攻撃時スタミナ消費量が20%、パワーアタック時スタミナ消費量が40%軽減。\nツールとそのパーツの発見率上昇。

perkPummelPeteRank1LongDesc,パンチは弱いかもしれませんが、悪党のあなたは棍棒を振ることができます！棍棒やバット使用時、ダメージ量が10%、スタン中の敵へのダメージ量が40%上昇。パワーアタック使用時、ダウン中の敵を60%の確率で再びノックダウンさせます。通常攻撃時スタミナ消費量4%、パワーアタック時スタミナ消費量8%軽減。\n棍棒とそのパーツの発見率上昇。
perkPummelPeteRank2LongDesc,あなたは危険な凶悪犯として着々と名を上げています。棍棒やバット使用時、ダメージ量が20%、スタン中の敵へのダメージ量が80%上昇。パワーアタック使用時、ダウン中の敵を70%の確率で再びノックダウンさせます。通常攻撃時スタミナ消費量8%、パワーアタック時スタミナ消費量16%軽減。\n棍棒とそのパーツの発見率上昇。
perkPummelPeteRank3LongDesc,大リーグで一発打てるほどの実力をつけました。棍棒やバット使用時、ダメージ量が30%、スタン中の敵へのダメージ量が120%上昇。パワーアタック使用時、ダウン中の敵を80%の確率で再びノックダウンさせます。通常攻撃時スタミナ消費量12%、パワーアタック時スタミナ消費量24%軽減。トドメを刺すと、スタミナが30回復します。短時間のうちに5回攻撃を命中させると、最後の一発のダメージが倍になります。\n棍棒とそのパーツの発見率上昇。
perkPummelPeteRank4LongDesc,立ち上がることなんて許しません。棍棒やバット使用時、ダメージ量が40%、スタン中の敵へのダメージ量が160%上昇。パワーアタック使用時、ダウン中の敵を90%の確率で再びノックダウンさせます。通常攻撃時スタミナ消費量16%、パワーアタック時スタミナ消費量32%軽減。トドメを刺すと、スタミナが60回復します。\n短時間のうちに4回攻撃を命中させると、最後の一発のダメージが倍になります。\n棍棒とそのパーツの発見率上昇。
perkPummelPeteRank5LongDesc,かつて、パメル・ピートは棍棒1本で50体のゾンビを倒しました。彼もあなたを誇りに思うことでしょう。棍棒やバット使用時、ダメージ量が50%、スタン中の敵へのダメージ量が200%上昇。パワーアタック使用時、ダウン中の敵を100%の確率で再びノックダウンさせます。\n通常攻撃時スタミナ消費量20%、パワーアタック時スタミナ消費量40%軽減。トドメを刺すと、スタミナが90回復します。短時間のうちに3回攻撃を命中させると、最後の一発のダメージが倍になります。\n棍棒とそのパーツの発見率上昇。

perkSkullCrusherRank1LongDesc,ブルーザーとなったあなたは、少し運がよければ、老いぼれのゾンビなら倒せることでしょう。スレッジハンマー使用時、ダメージ量が10%、パワーアタック時ノックダウン率15%上昇。通常攻撃時スタミナ消費量4%軽減、パワーアタック時スタミナ消費量8%軽減。\nスレッジハンマーとそのパーツの発見率上昇。
perkSkullCrusherRank2LongDesc,モーラーになったからと言って、あまり調子には乗らない方が良いでしょう。スレッジハンマー使用時、ダメージ量が20%、パワーアタック時ノックダウン率30%上昇。通常攻撃時スタミナ消費量8%軽減、パワーアタック時スタミナ消費量16%軽減。\nスレッジハンマーとそのパーツの発見率上昇。
perkSkullCrusherRank3LongDesc,まごうことなきスマッシャーとなり、立ちはだかるほとんどの者をなぎ倒します。スレッジハンマー使用時、ダメージ量が30%、パワーアタック時ノックダウン率45%上昇、パワーアタック時、20%の確率で近くの敵をノックダウンさせます。通常攻撃時スタミナ消費量12%軽減、パワーアタック時スタミナ消費量24%軽減。トドメを刺すとスタミナが30回復します。\nスレッジハンマーとそのパーツの発見率上昇。
perkSkullCrusherRank4LongDesc,あなたはまさにボーンブレイカー！スレッジハンマー使用時、ダメージ量が40%、パワーアタック時ノックダウン率60%上昇、パワーアタック時、35%の確率で近くの敵もノックダウンさせます。通常攻撃時スタミナ消費量16%軽減、パワーアタック時スタミナ消費量32%軽減。トドメを刺すとスタミナが60回復します。\nスレッジハンマーとそのパーツの発見率上昇。
perkSkullCrusherRank5LongDesc,スカルクラッシャー。もし誰かがあなたを怒らせても、あなたは相手の頭上段骨を打ち砕く方法を知っています。スレッジハンマー使用時、ダメージ量が50%、パワーアタック時ノックダウン率75%上昇、パワーアタック時、50%の確率で近くの敵もノックダウンさせます。\n通常攻撃時スタミナ消費量20%軽減、パワーアタック時スタミナ消費量40%軽減。トドメを刺すとスタミナが90回復します。\nスレッジハンマーとそのパーツの発見率上昇。



perkDeadEyeRank1LongDesc,乱れ撃ち。物置の壁を撃ち抜くことができます。ライフル使用時、ダメージ量が10%、取り回しと反動軽減が10%、リロード速度が10%上昇。\nライフル、ライフルパーツ、.308弾の発見率上昇。
perkDeadEyeRank2LongDesc,あなたはライフルマンで、30ヤード先の大きな岩を撃ち抜けます。ライフル使用時、ダメージ量が20%、取り回しと反動軽減が20%、リロード速度が15%上昇。\nライフル、ライフルパーツ、.308弾の発見率上昇。
perkDeadEyeRank3LongDesc,あなたは今、マークスマンであり、自分でなんとかできるレベル。ライフル使用時、ダメージ量が30%、取り回しと反動軽減が30%、リロード速度が20%、ADS時スタミナ回復速度が10%上昇。\nキルストリーク：連続でキルするごとに、ダメージ量が10%、20%、最大30%まで上昇します。\nライフル、ライフルパーツ、.308弾の発見率上昇。
perkDeadEyeRank4LongDesc,あなたは狙撃手です。ライフル使用時、ダメージ量が40%、取り回しと反動軽減が40%、リロード速度が25%、ADS時スタミナ回復速度が20%上昇。\nキルストリーク：連続でキルするごとに、ダメージ量が20%、30%、最大40%まで上昇します。\nライフル、ライフルパーツ、.308弾の発見率上昇。
perkDeadEyeRank5LongDesc,厳しい訓練と数え切れない数の射撃経験を通して、射撃の名手になりました。ライフル使用時、ダメージ量が50%、取り回しと反動軽減が50%、リロード速度が30%、ADS時スタミナ回復速度が30%上昇。\nキルストリーク：連続でキルするごとに、ダメージ量が30%、40%、最大50%まで上昇します。\nライフル、ライフルパーツ、.308弾の発見率上昇。

perkBoomstickDesc,ショットガンの達人になりましょう。\n[DECEA3]週刊ショットガン[-]の雑誌略奪率が上がります。
perkBoomstickRank1LongDesc,きっと、あなたは命中力が低いか、接近戦でたくさんダメージを与えるのが好きなのでしょうね。どちらにしても、ショットガンを持った浮浪者には近づかないほうがいいでしょう。ショットガン使用時、ダメージ量が10%、発射速度と反動軽減が10%、リロード速度が10%上昇。敵のスタン時間が6秒間に上昇。\nショットガン、ショットガンパーツ、ショットガン用弾薬の発見率上昇。
perkBoomstickRank2LongDesc,遊牧民として荒れ地を歩き回ることで、あなたのショットガン技術は向上しました。ショットガン使用時、ダメージ量が20%、発射速度と反動軽減が20%、リロード速度が15%上昇。\nショットガン、ショットガンパーツ、ショットガン用弾薬の発見率上昇。
perkBoomstickRank3LongDesc,ショットガンコンテストがあったら、粘土のアヒルを撃ち抜いてショットガンのプロとして認められたことでしょう。ショットガン使用時、ダメージ量が30%、発射速度と反動軽減が30%、リロード速度が20%上昇。敵のスタン時間が8秒間に上昇。\nショットガン、ショットガンパーツ、ショットガン用弾薬の発見率上昇。
perkBoomstickRank4LongDesc,あなたにショットガンを持たせたら敵なしです。ショットガンマスター、そうです、あなたはショットガンの達人です。ショットガン使用時、ダメージ量が40%、発射速度と反動軽減が40%、リロード速度が25%上昇。\nショットガン、ショットガンパーツ、ショットガン用弾薬の発見率上昇。
perkBoomstickRank5LongDesc,あなたはショットガン・メシアとして伝説になりました。あなたに出会った敵を待ち受けるのは、死のみです。ショットガン使用時、ダメージ量が50%、発射速度と反動軽減が50%、リロード速度が30%上昇。\n足を撃つと敵の足を不自由にする。\nショットガン、ショットガンパーツ、ショットガン用弾薬の発見率上昇。

perkMachineGunnerRank1LongDesc,運任せに乱射していくスタイル。マシンガン使用時、ダメージ量が10%、反動軽減が10%、連射速度が5%、リロード速度が10%上昇。\nマシンガン、マシンガンパーツ、7.62mm弾発見率上昇。
perkMachineGunnerRank2LongDesc,部隊員ではありませんが、何としてでも仕事を終わらせます。マシンガン使用時、ダメージ量が20%、反動軽減が20%、連射速度が10%、リロード速度が15%上昇。\nマシンガン、マシンガンパーツ、7.62mm弾発見率上昇。
perkMachineGunnerRank3LongDesc,戦闘の経験を積んだあなたの能力は研ぎ澄まされ、兵士になりました。マシンガン使用時、ダメージ量が30%、反動軽減が30%、連射速度が15%、リロード速度が20%上昇。部隊員のアドレナリン：マシンガンでヒットさせるたびに、スタミナが2回復します。\nマシンガン、マシンガンパーツ、7.62mm弾発見率上昇。
